epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
36,1440.53,1.41847,1.13174,1.71857,0.80891,0.76894,0.81988,0.49088,1.37326,0.99737,1.69386,2.14046e-05,2.14046e-05,2.14046e-05
37,1475.84,1.39898,1.09557,1.72123,0.79052,0.80402,0.81749,0.48791,1.3716,0.97575,1.69099,1.89475e-05,1.89475e-05,1.89475e-05
38,1511.09,1.40856,1.10161,1.72416,0.80543,0.79924,0.83505,0.4997,1.36888,0.96833,1.69119,1.66149e-05,1.66149e-05,1.66149e-05
39,1549.05,1.40405,1.11155,1.72168,0.79191,0.79637,0.81926,0.49332,1.36368,0.9762,1.69051,1.44161e-05,1.44161e-05,1.44161e-05
40,1586.2,1.40466,1.09132,1.71523,0.81025,0.78381,0.81841,0.49785,1.35546,0.95599,1.68324,1.23596e-05,1.23596e-05,1.23596e-05
41,1641.23,1.35168,0.90305,1.66785,0.81157,0.80019,0.83375,0.50606,1.35069,0.94423,1.68297,1.04537e-05,1.04537e-05,1.04537e-05
42,1675.85,1.34056,0.86706,1.64913,0.81587,0.78298,0.83196,0.50362,1.35449,0.92662,1.68911,8.70577e-06,8.70577e-06,8.70577e-06
43,1710.77,1.31803,0.85935,1.63767,0.81822,0.7875,0.83211,0.50995,1.34208,0.93348,1.67209,7.12282e-06,7.12282e-06,7.12282e-06
44,1748.51,1.30939,0.85045,1.63166,0.79833,0.8099,0.82879,0.5082,1.33473,0.92182,1.66849,5.71106e-06,5.71106e-06,5.71106e-06
45,1783.36,1.309,0.84536,1.63225,0.806,0.79732,0.83825,0.51001,1.33565,0.91766,1.66698,4.47606e-06,4.47606e-06,4.47606e-06
46,1822.12,1.30328,0.84495,1.61973,0.81334,0.79446,0.8362,0.50815,1.33164,0.91555,1.66462,3.4227e-06,3.4227e-06,3.4227e-06
47,1864,1.29661,0.83614,1.61604,0.80217,0.80633,0.83646,0.51062,1.34068,0.91571,1.67295,2.55513e-06,2.55513e-06,2.55513e-06
48,1899.56,1.29912,0.83703,1.6211,0.82064,0.78776,0.83802,0.51343,1.33216,0.91342,1.6651,1.87678e-06,1.87678e-06,1.87678e-06
49,1935.58,1.29763,0.82936,1.62049,0.8166,0.796,0.83589,0.50889,1.33054,0.9174,1.66264,1.39032e-06,1.39032e-06,1.39032e-06
50,1971.6,1.28427,0.82638,1.61648,0.81078,0.79882,0.83785,0.51205,1.33208,0.90955,1.66497,1.09768e-06,1.09768e-06,1.09768e-06
