epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.7523,3.22835,3.13159,3.48089,0.15487,0.15583,0.06191,0.01516,3.6506,3.50279,3.51929,0.066781,3.32522e-05,3.32522e-05
2,74.4683,2.78881,2.63399,3.16271,0.23524,0.2782,0.12682,0.03814,3.08555,2.74201,3.1045,0.033481,6.65205e-05,6.65205e-05
3,112.119,2.49153,2.37694,2.89838,0.3885,0.3652,0.29018,0.09817,2.58751,2.23947,2.80219,0.000180632,9.95289e-05,9.95289e-05
4,148.075,2.32872,2.2203,2.68785,0.53516,0.39101,0.39503,0.15485,2.29012,2.06791,2.62042,9.91232e-05,9.91232e-05,9.91232e-05
5,203.171,2.16619,2.07516,2.54179,0.49148,0.42873,0.40398,0.16588,2.17569,1.93679,2.49809,9.84449e-05,9.84449e-05,9.84449e-05
6,253.032,2.04221,1.95897,2.40988,0.51827,0.45985,0.4457,0.18997,2.12356,1.7806,2.37499,9.75773e-05,9.75773e-05,9.75773e-05
7,295.974,1.95835,1.871,2.32608,0.58672,0.5,0.49364,0.2319,1.95863,1.81053,2.24398,9.65239e-05,9.65239e-05,9.65239e-05
8,333.819,1.90123,1.77675,2.25028,0.65623,0.53472,0.58842,0.27226,1.89729,1.57768,2.22327,9.52889e-05,9.52889e-05,9.52889e-05
9,373.882,1.8811,1.7465,2.20874,0.63954,0.57075,0.56697,0.27509,1.81018,1.64653,2.135,9.38772e-05,9.38772e-05,9.38772e-05
10,410.867,1.81393,1.6584,2.15374,0.69988,0.58031,0.6313,0.31113,1.83334,1.49878,2.09141,9.22942e-05,9.22942e-05,9.22942e-05
11,448.186,1.79238,1.63368,2.10503,0.67813,0.63649,0.67072,0.35494,1.68345,1.39223,2.01692,9.05463e-05,9.05463e-05,9.05463e-05
12,482.503,1.74435,1.56777,2.05829,0.70638,0.60516,0.67419,0.34961,1.65116,1.45622,1.96176,8.86404e-05,8.86404e-05,8.86404e-05
13,521.363,1.72771,1.54119,2.03092,0.70685,0.69694,0.67278,0.34374,1.69455,1.34737,2.00671,8.65839e-05,8.65839e-05,8.65839e-05
14,558.84,1.6963,1.486,1.98623,0.69248,0.64583,0.69016,0.36314,1.65698,1.28795,1.94744,8.43851e-05,8.43851e-05,8.43851e-05
15,611.775,1.6741,1.46317,1.97457,0.7171,0.64627,0.70372,0.35409,1.66669,1.34606,1.98027,8.20525e-05,8.20525e-05,8.20525e-05
16,661.091,1.65486,1.43022,1.94758,0.7121,0.71886,0.72876,0.40894,1.56425,1.19469,1.88189,7.95954e-05,7.95954e-05,7.95954e-05
17,697.056,1.63758,1.41716,1.91662,0.77275,0.71128,0.7693,0.42271,1.53525,1.15682,1.85507,7.70234e-05,7.70234e-05,7.70234e-05
18,731.578,1.61942,1.39953,1.91408,0.74247,0.71385,0.74889,0.39923,1.60542,1.21793,1.90816,7.43468e-05,7.43468e-05,7.43468e-05
19,772.212,1.60619,1.36339,1.89835,0.72237,0.71893,0.76809,0.41661,1.52091,1.168,1.84677,7.15761e-05,7.15761e-05,7.15761e-05
20,814.511,1.58457,1.33773,1.87346,0.78233,0.75143,0.75554,0.42185,1.52345,1.17582,1.86103,6.87222e-05,6.87222e-05,6.87222e-05
21,871.866,1.58645,1.33994,1.86969,0.77719,0.71702,0.75148,0.4095,1.53504,1.17972,1.84389,6.57963e-05,6.57963e-05,6.57963e-05
22,909.885,1.56874,1.32009,1.85565,0.77018,0.73614,0.77052,0.41714,1.55071,1.1735,1.84097,6.28101e-05,6.28101e-05,6.28101e-05
23,944.663,1.55092,1.27583,1.82822,0.7796,0.73044,0.75984,0.42849,1.50114,1.13349,1.82204,5.97754e-05,5.97754e-05,5.97754e-05
24,980.804,1.53641,1.25996,1.81968,0.81082,0.73347,0.79285,0.45498,1.46213,1.09156,1.76533,5.6704e-05,5.6704e-05,5.6704e-05
25,1018.38,1.49524,1.23434,1.80125,0.79586,0.72308,0.77692,0.43892,1.48845,1.10095,1.80037,5.36081e-05,5.36081e-05,5.36081e-05
26,1055.95,1.51352,1.24025,1.80287,0.77982,0.74952,0.7882,0.46105,1.42565,1.06484,1.75445,5.05e-05,5.05e-05,5.05e-05
27,1093.75,1.50246,1.22726,1.80201,0.75252,0.75048,0.79088,0.45492,1.44918,1.06048,1.77924,4.73919e-05,4.73919e-05,4.73919e-05
28,1131.96,1.4868,1.2229,1.79397,0.80222,0.75335,0.7915,0.4583,1.41917,1.06505,1.74593,4.4296e-05,4.4296e-05,4.4296e-05
29,1169.93,1.47057,1.19984,1.76541,0.76914,0.76673,0.80062,0.47753,1.41292,1.02636,1.7322,4.12246e-05,4.12246e-05,4.12246e-05
30,1207.25,1.46515,1.16875,1.76314,0.77264,0.75699,0.79121,0.4607,1.42222,1.07697,1.74146,3.81899e-05,3.81899e-05,3.81899e-05
31,1244.83,1.45924,1.16708,1.75859,0.79929,0.75002,0.79246,0.46574,1.43107,1.02897,1.73244,3.52037e-05,3.52037e-05,3.52037e-05
32,1284.09,1.45727,1.15074,1.76259,0.78946,0.77247,0.8027,0.46918,1.41307,1.03037,1.72692,3.22778e-05,3.22778e-05,3.22778e-05
33,1321.9,1.435,1.15464,1.7388,0.79423,0.78967,0.81761,0.48515,1.40475,1.00297,1.72155,2.94239e-05,2.94239e-05,2.94239e-05
34,1359.82,1.44797,1.15304,1.74484,0.81143,0.77916,0.81055,0.48613,1.40108,0.98441,1.71806,2.66532e-05,2.66532e-05,2.66532e-05
35,1397.9,1.44991,1.14287,1.74306,0.7799,0.78203,0.81657,0.49089,1.39226,1.00052,1.71181,2.39766e-05,2.39766e-05,2.39766e-05
